Id,AccountId,Name,Title,Email,Phone,Seniority_Level__c,Decision_Maker__c
003RajapNorbL69mZ2,001KCUUTSGFgKfmrwE,Carla Chapman,Senior Manager,carla.chapman@www.kkr.co.uk,548.313.1648x685,Junior,True
003OCX8xmIb0z9vG91,001KCUUTSGFgKfmrwE,Michael Smith,CFO,michael.smith@www.kkr.co.uk,235-273-9713x873,Mid-Level,True
003LZTOf3tyBO2xn3v,001XaWpbI7Tv9gd9Cg,Nicole Schneider,Principal,nicole.schneider@example.com,,C-Level,False
003h9vXAspCcGZkU3F,001eXCudnogWz8gsTo,Jennifer Hunt,Investment Manager,jennifer.hunt@www.robinsonportinvestment.net,001-808-837-0627,Junior,False
0034q3WFxfqPIQQMsC,001eXCudnogWz8gsTo,Angela Martin,Partner,angela.martin@www.robinsonportinvestment.net,(495)731-7872,Mid-Level,False
0033OMxlLmEkndsPqv,001cot0YpY0bFkTYrp,Stacey Smith,Principal,stacey.smith@www.margaretportinvestment.net,,Senior,False
003bwLu593fmC9GZ75,001cot0YpY0bFkTYrp,Michael Lee,Managing Director,michael.lee@www.margaretportinvestment.net,5152435639,C-Level,True
0036QX0zbjY4DL1gQC,001qhn8Ia4KbwiOPVj,Travis Johnson,Portfolio Manager,travis.johnson@www.sandovalassociates.de,,Mid-Level,True
003yQNg0wQr3ogyboG,001qhn8Ia4KbwiOPVj,Jeffrey Anderson,Analyst,jeffrey.anderson@www.sandovalassociates.de,+1-772-944-3421x54007,C-Level,True
003MTYjy08zAGnlFg6,001R6qpGpmW5hsswAy,John Baker,CIO,john.baker@www.plcinvestment.fr,,Mid-Level,False
003fE2qSPejqtKqi7P,001OkiZHF8d18iR1Qv,Kimberly Lopez,CFO,kimberly.lopez@www.lawson.net,,Senior,False
003egGcltXliP3addv,001OkiZHF8d18iR1Qv,Tammy Vincent,CEO,tammy.vincent@www.lawson.net,,Senior,True
003HfKtPJSDYJZFyro,001OkiZHF8d18iR1Qv,Gregory Lopez,CEO,gregory.lopez@www.lawson.net,+1-828-959-5355x60753,Junior,True
003IX6kCxZxzgvtoxx,001u0erZDAzzEPpr1X,Sarah Cobb,Vice President,sarah.cobb@www.llcinvestment.de,,Senior,True
003zu2U9UaiN2lc35M,001u0erZDAzzEPpr1X,Michael Adams,Analyst,michael.adams@www.llcinvestment.de,691.446.4519x806,Senior,False
003rFcYghNi2xdgrSc,001gXtN2e3vyO5xGxT,Rebecca Bautista,Managing Director,rebecca.bautista@www.campbellassociates.net,,Mid-Level,False
003x25deRffLjUxcLt,001gXtN2e3vyO5xGxT,Kenneth Velazquez,Managing Director,kenneth.velazquez@www.campbellassociates.net,4619654994,Junior,False
0033PZ9wdQqbt0ePPC,001a7omw3fjLgJaqpK,Jessica Howell,Director,jessica.howell@www.andsonsinvestment.co.uk,,Senior,True
003GqXL5xR67fYflOg,001ToTGtgLFqJI1Ogk,Harold Cole,Analyst,harold.cole@example.com,483-278-6491,Junior,False
003kvbsQqVnbsdXMZu,001ToTGtgLFqJI1Ogk,Mitchell Benjamin,Partner,mitchell.benjamin@example.com,+1-918-368-5013x867,C-Level,True
003q2o0HBroBO7lwz9,001CyfoXZFnWDkaQnQ,Michelle Summers,Investment Manager,michelle.summers@www.newjoshuainvestment.co.uk,964.736.3320x16906,Senior,True
0038oTZJVr6EtrkzSa,001CyfoXZFnWDkaQnQ,Emily Harrell,Investment Manager,emily.harrell@www.newjoshuainvestment.co.uk,,Mid-Level,False
003pdjJnLNpXQLDtAU,001w6qppdIxDhP4PJm,Andrew Hart,Managing Director,andrew.hart@www.jones.com,,Senior,True
003Tk32Q749FnAEtDV,001w6qppdIxDhP4PJm,Molly Jones,Principal,molly.jones@www.jones.com,+1-931-868-3575x4711,C-Level,False
003Y6cvDXTAhOQIQaB,001w6qppdIxDhP4PJm,John Macdonald,Senior Manager,john.macdonald@www.jones.com,469-799-3490,Senior,True
003VysU15usoUxogk3,0018VCPD8aNyXsUhug,Julie Miller,Director,julie.miller@example.com,,Senior,False
003U8r2StgGGfPwALT,0011IGIx9Kpk3WQ47x,Erica Cooper,CFO,erica.cooper@www.brown.com,(204)491-6704x628,Junior,True
003qbnGDmFAoQLbI7k,001dg3nXDAnwTcEz9L,Justin Thomas,Analyst,justin.thomas@www.llcinvestment.fr,,Mid-Level,True
003d5oO3VbozC0xurB,001dg3nXDAnwTcEz9L,Matthew Joseph,COO,matthew.joseph@www.llcinvestment.fr,,Senior,True
003GrebKRUOOMDulgn,001dg3nXDAnwTcEz9L,Joshua Manning,Principal,joshua.manning@www.llcinvestment.fr,+1-411-463-6478x0769,C-Level,False
003dl8DAyD50lvxOEZ,001QO819YCSQEmyh0m,April Brooks,Senior Vice President,april.brooks@www.westlisainvestment.fr,742.417.0650x350,Junior,False
0039cdWaRVIWLYO780,001QO819YCSQEmyh0m,Kelly Yates,Senior Manager,kelly.yates@www.westlisainvestment.fr,304.355.3438,Senior,False
003a4ntNbFZs0dU6c2,001fznamAoAsqZH7UD,Jean Wright,Principal,jean.wright@example.com,3407080415,Junior,False
003Dc7feNweT1TTXB7,001fznamAoAsqZH7UD,Danielle Cox,Principal,danielle.cox@example.com,+1-480-560-3790x8581,C-Level,False
003dh4Wk6N8P223s9g,001fznamAoAsqZH7UD,Seth Brown,CIO,seth.brown@example.com,(679)458-6148x9242,Senior,True
0038NKhFYuLoUFZeNI,001gXHoSaxRtUfkVXr,Michelle Smith,CFO,michelle.smith@www.wu.co.uk,3617983456,Senior,True
003end2k97dUjli8VM,0011EepTFTvy9IO0xr,Jordan Allen,Vice President,jordan.allen@example.com,001-331-594-1317,Senior,True
003qoqiV6rILQs8wlY,0011EepTFTvy9IO0xr,Holly Bender,CFO,holly.bender@example.com,999-510-7549,C-Level,False
003lVZkb2zAQINhXBJ,0011EepTFTvy9IO0xr,John Smith,Director,john.smith@example.com,6458801813,Junior,False
003vmsBY2qKI2fbXEF,001tHF722Yo3aogK7j,Jamie Chaney,Managing Director,jamie.chaney@example.com,,Senior,False
003fRBukDUjhz2Wz04,001XmZePBEo1oXLSPi,Madison Hutchinson,CFO,madison.hutchinson@www.mackassociates.net,,Mid-Level,True
003cXVY6t4vTQnU7B8,001XmZePBEo1oXLSPi,Heather Baker,Senior Vice President,heather.baker@www.mackassociates.net,(218)428-9433,Junior,False
003wXnAbTvMZiPwXBo,001IkPgcS31ovwZ1Y8,Nathan Harris,Senior Vice President,nathan.harris@www.gallegos.net,(405)845-2833x74708,C-Level,True
003YdJLiSNeREU4y1h,001IkPgcS31ovwZ1Y8,Jennifer Castillo,CIO,jennifer.castillo@www.gallegos.net,,Senior,True
003QUzD9mlJenyszKz,0014DE38QSL6CwTvqt,Marcus Smith,Senior Vice President,marcus.smith@www.clarkortiz.de,,Junior,True
003Ep4uZSdanr0aLpN,0014DE38QSL6CwTvqt,Walter Schultz,Senior Manager,walter.schultz@www.clarkortiz.de,,Mid-Level,False
003UZZjGOoALVx9cPp,0014DE38QSL6CwTvqt,Mary Richardson,Vice President,mary.richardson@www.clarkortiz.de,6283101488,C-Level,True
003EAdxEvRnTFgY0ne,001W4gq3DcL2ICxl5S,Julie Wallace,Investment Manager,julie.wallace@www.davis.co.uk,220.674.3264,Senior,True
003scPJgJ098gtmGqa,001hl1pPuWcmlBs5WS,Eddie Frederick,COO,eddie.frederick@example.com,935-505-8200x5981,Mid-Level,False
003gdVzOa5A4m4s5NS,001hl1pPuWcmlBs5WS,Sarah Roberts,Senior Vice President,sarah.roberts@example.com,740-408-2153,C-Level,True
0038JnHg7g52eNU9Va,001itwVHDlKpxgXxjb,Sarah Moody,Principal,sarah.moody@www.stewartwilliams.co.uk,890.884.9405,Mid-Level,True
003tDXMbvbmmMvhpHx,001itwVHDlKpxgXxjb,Daniel Perez,Director,daniel.perez@www.stewartwilliams.co.uk,,Mid-Level,True
003UzFfpOEyQgE7PNy,001kGq6KOdoBYS1HZ2,Leah Andrade,Senior Manager,leah.andrade@www.colerobinson.de,7014452221,Mid-Level,True
003jRumgObYIyoiUNd,001kGq6KOdoBYS1HZ2,Megan Bennett,Vice President,megan.bennett@www.colerobinson.de,+1-821-778-3499x06672,Senior,True
003YNebjd5cibEVDNt,001kGq6KOdoBYS1HZ2,Justin Aguilar,Senior Manager,justin.aguilar@www.colerobinson.de,,C-Level,False
003xNk7e7gixChEmPA,001QgWqgkjS0ZUclgA,Jesse Ward,Director,jesse.ward@www.moore.net,001-327-674-7808x9714,Mid-Level,False
003vtd0V4uo40nXNgq,001QgWqgkjS0ZUclgA,Bryan Brooks,Senior Vice President,bryan.brooks@www.moore.net,(521)589-5656x514,Junior,False
003EAxedQEARV0E8XR,001QgWqgkjS0ZUclgA,Victor Henderson,Portfolio Manager,victor.henderson@www.moore.net,,Junior,True
003uvi1RewfwoawPFK,0019hwlIQLUQjqOZtI,Sheri Barker,Senior Vice President,sheri.barker@www.llcinvestment.de,(695)487-0030x888,Senior,True
003KPKOAtbtiqx4h51,001g6499EbOEYlipcR,Holly Collier,Investment Manager,holly.collier@www.groupinvestment.de,+1-414-739-4137x20208,Junior,False
0030VdGUW0Romyrrew,001g6499EbOEYlipcR,Nichole Erickson,CFO,nichole.erickson@www.groupinvestment.de,,Mid-Level,False
003tlFbKevIDN4pw5g,001uMTRGevbR1jXODd,Robert Ellison,CEO,robert.ellison@example.com,,Junior,False
003zloel3scNyQa2ez,001uMTRGevbR1jXODd,Johnny Garcia,Partner,johnny.garcia@example.com,(936)731-8089x614,Mid-Level,False
003UlpNH0mB8lC7lSB,001H02FhZdY0BUL23C,Barbara James,Director,barbara.james@www.pattersonassociates.fr,,Senior,False
003NJk4rNpMqLNizNM,001VhLVX5ZxeBeF3hg,Kelly Hernandez,CIO,kelly.hernandez@www.thompsonassociates.co.uk,(482)934-0510,Junior,True
0032X4CjcYW3xkVkms,001VhLVX5ZxeBeF3hg,Marilyn Jones,CEO,marilyn.jones@www.thompsonassociates.co.uk,001-601-306-8204,Junior,False
